cycle_count	entropy	node_entropy
1:	3.40313357474	3.11866063224
2:	3.19114399089	2.88960431093
3:	3.17461764938	2.99981423836
4:	3.39866126696	3.18023292406
5:	3.43827070103	3.06173985765
6:	3.25613346261	2.92625007662
7:	3.43602268249	3.09773470079
8:	3.54875340831	3.07880443821
9:	3.51016110438	3.09947330488
10:	3.50204576614	3.01390815882
11:	3.48918433816	3.0250424523
12:	3.34759172755	2.97192114915
13:	3.05703070782	2.92589475474
14:	3.36645976175	2.9685389416
15:	3.44312568585	2.99221503447
16:	3.41322261659	3.02410289877
17:	3.60775141288	3.04859357001
18:	3.41278949844	3.01052580721
19:	3.50722354106	3.03333099967
20:	3.55052932443	3.12480125353
21:	3.29449064623	2.99802812782
22:	3.63074331388	3.1184288733
23:	3.29444081141	2.90969657064
24:	3.58647624093	3.16005994007
25:	3.34486252529	3.09484491839
26:	3.31362079804	3.03388066483
27:	3.48515926458	3.14018814232
28:	3.35826844633	3.07862860444
29:	3.52371776948	3.07255204013
30:	3.33954507411	3.09933046031
31:	3.39377203349	3.10648601783
32:	3.22818846887	2.94618070486
33:	3.45761582263	3.03933562753
34:	3.47082837024	3.02590886591
35:	3.36463917158	2.97675860346
36:	3.37825666884	3.05786794112
37:	3.30015832687	3.00311879395
38:	3.33503273652	2.98089542891
39:	3.43068336781	3.06327760769
40:	3.45454276865	3.07134170871
41:	3.59066563475	3.11305191741
42:	3.489840523	3.03866480321
43:	3.31591793289	2.9284153437
44:	3.27690332637	2.90840380768
45:	3.33615301742	3.01367252177
46:	3.49407448188	3.07839965026
47:	3.13228383978	2.90398645028
