"result_time";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"routingtableactive";"neighbor_id_0";"neighbor_petx_0";"neighbor_parent_0";"neighbor_id_1";"neighbor_petx_1";"neighbor_parent_1";"neighbor_id_2";"neighbor_petx_2";"neighbor_parent_2";"neighbor_id_3";"neighbor_petx_3";"neighbor_parent_3";"neighbor_id_4";"neighbor_petx_4";"neighbor_parent_4";"pkt_length";"parentparent"
"2016-08-18 05:01:13.489";20841;11501;2;22731;0;0;5;10;246;221;50;10;1;224;3063;108;511;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 05:18:21.812";22731;40031;2;40031;0;0;4;10;139;221;40;10;223;225;5260;8059;1609;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20641;10;11301;0;0;0;55;10301
"2016-08-18 05:26:16.557";23031;11501;4;22731;0;0;5;10;240;221;50;10;8;241;4849;9508;1529;4;20;23341;10;10501;11501;10;40031;10101;10;40031;23131;10;40031;0;0;0;55;40031
"2016-08-18 05:36:42.884";20841;11501;2;22731;0;0;5;10;252;221;50;10;1;225;3069;108;515;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 05:55:08.668";21341;22631;5;22731;1;0;5;10;51;221;50;10;221;220;2868;196;327;0;13;23341;28;10501;22631;10;40031;20141;10;40031;21731;19;40031;0;0;0;55;40031
"2016-08-18 05:56:11.02";22831;20541;5;20141;1;0;5;10;183;221;50;10;230;232;1208;825;185;0;20;22731;10;40031;20541;10;11301;11501;10;40031;23341;10;40031;0;0;0;55;40031
"2016-08-18 06:12:17.592";20841;22731;2;22731;0;0;5;10;1;221;50;10;216;223;3074;108;517;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 06:21:34.096";21141;20941;5;20941;0;0;6;10;242;221;60;10;217;217;2803;1;2089;41;14;48895;30;22631;20941;10;11501;21151;10;20541;22931;11;20541;0;0;0;55;40031
"2016-08-18 06:28:43.684";23131;22731;5;22631;0;0;5;10;226;221;50;10;227;225;5859;21283;3507;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;10;40031;0;0;0;55;40031
"2016-08-18 06:47:43.892";20841;22731;2;22731;0;0;5;10;7;221;50;10;215;222;3080;108;520;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 06:49:04.588";22731;11301;2;40031;0;0;4;10;148;221;40;10;4;226;5269;8089;1614;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20641;10;11301;0;0;0;55;10301
"2016-08-18 06:50:13.324";21341;11501;5;22731;1;0;5;10;59;221;50;10;5;238;2876;196;329;0;14;23341;26;10501;22631;10;40031;20141;10;40031;21731;18;40031;0;0;0;55;40031
"2016-08-18 07:14:44.633";22631;40031;1;40031;0;0;4;10;37;221;40;10;221;225;5158;10334;1768;3;20;22731;10;40031;20541;10;11301;20141;10;40031;11501;10;40031;0;0;0;55;10301
"2016-08-18 07:23:15.032";20841;11501;2;22731;0;0;5;10;12;221;50;10;1;224;3085;108;521;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 07:44:30.328";21141;20941;5;20941;1;0;6;10;254;221;60;10;217;218;2815;1;2114;43;14;11501;34;40031;48895;30;22631;21151;10;20541;22931;11;20541;0;0;0;55;11501
"2016-08-18 07:45:18.021";21341;22631;5;22731;0;0;5;10;67;221;50;10;221;222;2884;196;329;0;14;23341;26;10501;22631;10;40031;20141;10;40031;21731;18;40031;0;0;0;55;40031
"2016-08-18 07:58:45.225";20841;11501;2;22731;0;0;5;10;18;221;50;10;1;225;3091;108;522;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 08:10:19.197";23131;21731;5;22631;0;0;5;10;236;221;50;10;221;215;5869;21288;3510;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;10;40031;0;0;0;55;40031
"2016-08-18 08:14:29.668";22831;22731;5;20141;0;0;5;10;195;221;50;10;229;230;1220;825;189;0;20;22731;10;40031;11501;10;40031;23341;10;10501;10101;10;10501;0;0;0;55;40031
"2016-08-18 08:19:46.648";22731;11301;2;40031;0;0;4;10;156;221;40;10;3;225;5277;8107;1620;1;20;11301;10;11101;22631;10;40031;20641;10;10501;20141;10;10501;0;0;0;55;10301
"2016-08-18 08:34:20.556";20841;22731;2;22731;1;0;5;10;23;221;50;10;214;223;3096;108;524;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 08:40:20.376";21341;20141;5;22731;0;0;5;10;75;221;50;10;214;213;2892;196;329;0;14;23341;21;10501;22631;10;40031;20141;10;40031;21731;17;40031;0;0;0;55;40031
"2016-08-18 09:07:45.816";21141;11501;1;11501;1;0;5;10;10;221;52;12;0;212;2827;1;2130;43;14;48895;30;22631;20941;10;11501;21151;65535;20541;22931;11;20541;0;0;0;55;40031
