cycle_count	entropy	node_entropy
1:	3.10130150677	2.94436252249
2:	3.34660261681	3.13050425248
3:	3.12694119987	2.95355761163
4:	3.1412754671	2.95387436674
5:	3.17926601425	3.03316160465
6:	3.18992194957	3.00867502638
7:	3.16687221816	2.97823183147
8:	3.25174165441	3.03832151197
9:	3.20508531924	3.01736527809
10:	3.09825806226	2.93561178772
11:	3.17867701423	3.02080175869
12:	3.24839838395	3.03928504538
13:	3.25199673953	3.08896462671
14:	3.28202721616	3.07816039834
15:	3.26448339209	3.05061043527
16:	3.22082556735	3.06502039611
17:	3.19891417071	3.04626777263
18:	3.24450020501	3.03759059887
19:	3.16206647204	2.98318978028
20:	3.26665721795	3.11908243291
21:	3.23009617804	3.03228212616
22:	3.25250846915	3.06461171983
23:	3.27147205739	3.05953641005
24:	3.23394992081	3.05771128449
25:	3.1906256315	3.02231254407
26:	3.19949078384	3.0315133336
27:	3.21422806502	3.05581990901
28:	3.24850635016	3.0602744012
29:	3.16794982081	2.98844875249
30:	3.24957162939	3.02910068248
31:	3.17388194165	2.98738981601
32:	3.24901503184	3.06983908492
33:	3.18288050008	3.01521970219
34:	3.26334844004	3.08252743642
35:	3.21433342042	3.02251373375
36:	3.18781374106	3.04748018058
37:	3.13006306351	3.00995575661
38:	3.08305429027	2.94482142405
39:	3.11759729049	3.02199078283
40:	3.0999256679	2.95499100707
41:	3.1179946449	3.0043450978
42:	3.20883667167	3.02797810995
43:	3.1093721029	3.00591729983
44:	3.14042095638	2.96348130306
45:	3.17970031379	3.01490847049
46:	3.19384255767	3.04626777263
47:	3.24773214081	3.08294029751
48:	3.14932696352	2.98787416259
49:	3.18520712066	3.0551479199
50:	3.19993044114	3.05621696082
51:	3.19481347609	3.03332424796
52:	3.1806431221	3.04392596379
53:	3.15190057768	3.00896900309
54:	3.23455102284	3.07813340775
55:	3.03755888479	2.91482091412
56:	3.10095892206	2.94217293672
57:	2.9141103907	2.83987050482
58:	3.20116430679	3.02111626825
