cycle_count	entropy	node_entropy
1:	3.17223101022	2.94157397426
2:	3.27563696047	2.98782499604
3:	3.29003124856	3.03257658149
4:	3.25280550499	3.06611813543
5:	3.39202179441	3.02636847655
6:	3.31775149654	3.02883487976
7:	3.35411675643	2.958000667
8:	3.3684044126	3.03395995466
9:	3.23648726761	3.00826829635
10:	3.33617933084	3.00366705967
11:	3.40560854123	3.10260900148
12:	3.20194690192	2.90701936517
13:	3.31245689706	3.0327260936
14:	3.29904132002	2.94323376503
15:	3.24556858005	3.04835684985
16:	3.42050430718	3.02233553624
17:	3.3965942561	3.05847477808
18:	3.43474668718	3.05079822948
19:	3.3522573535	2.996855021
20:	3.16848305127	2.92612638418
21:	3.28397622875	3.08295107044
22:	3.35177275393	3.02979705177
23:	3.57268645309	3.10237422924
24:	3.35310549414	3.01762803564
25:	3.47658962154	3.09335277665
26:	3.3565266205	3.07727653559
27:	3.25614673656	3.03560050157
28:	3.33707815703	3.01085290336
29:	3.30797021723	3.06684532657
30:	3.28206709943	3.07864588644
31:	3.09300458129	2.93578263862
32:	3.2352966894	2.89600143625
33:	3.4475862042	3.04213373404
34:	3.36728065977	3.10836145289
35:	3.20892562498	2.91358234957
36:	3.36907765175	3.02070557995
37:	3.32902637116	3.02289117984
38:	3.26975234108	2.99524976467
39:	3.23938749139	2.94587024084
40:	3.07889791169	2.94371951226
41:	3.26112444661	2.92145384549
42:	3.37842511176	3.06087725494
43:	3.06277425698	2.84356332905
44:	3.15361878244	2.96598793171
45:	3.2888426027	2.9799591746
46:	3.21348744056	3.02453234273
47:	3.08265860246	2.85038196319
48:	3.16672767297	2.93623285393
49:	3.45221970237	3.1296293041
50:	3.31523913829	3.05783925261
51:	3.23003900595	2.97417767968
52:	3.38662064387	2.99596205293
53:	3.35193620294	3.05337426722
54:	3.32540887074	2.99320428356
55:	3.34010670766	3.05719847462
56:	3.46412353831	3.12512826146
57:	3.18479025502	2.89062571304
58:	3.53410767185	3.10258721568
59:	3.27115101853	3.00902061933
60:	3.27751745195	3.10055666321
61:	3.31349545146	3.00709788923
62:	3.45961216675	3.04369827341
63:	3.42968223492	3.09889536001
64:	3.34409637908	3.05691224404
65:	3.30024645746	3.04326624085
66:	3.35197491847	3.10536564981
67:	3.3866094102	3.06272593783
68:	3.2882530931	3.08073461505
69:	3.14527790263	2.98078337397
70:	3.3286561897	3.07593493128
71:	3.32869177774	3.07056037012
72:	3.10057538484	2.80198452474
73:	3.4611936512	3.08659947909
74:	3.28172741963	2.97723441695
75:	3.46540308767	3.08607185235
76:	3.15236983407	2.85738119798
77:	3.2951187451	3.03962455853
78:	2.93303179101	2.7773844616
79:	3.31448122172	2.99949305485
80:	3.39095560236	3.08945310186
81:	3.3305907577	3.0429209547
82:	3.30616698632	2.96758562998
83:	3.27026126219	3.01688319782
84:	3.38516949186	3.01822625155
85:	3.25610004997	3.0074665377
86:	3.23091522708	2.93259871899
87:	3.48370922798	3.09382013297
88:	3.33546003797	3.02359996893
89:	3.24173878287	2.93172676527
90:	3.42221751589	3.08698724206
91:	3.17391587938	2.89964086605
92:	3.3036272577	3.00893964876
93:	3.37258635773	3.08745466545
94:	3.39346043616	3.00065841819
95:	3.22998659411	2.98286834021
96:	3.41973392403	3.077394821
97:	3.45938924615	3.10163615976
98:	3.55320410141	3.09318042233
99:	3.49024965302	3.02775632465
100:	3.28313048247	3.03144088557
101:	3.41658929854	3.02772321681
102:	3.41534239855	3.08395140889
103:	3.22199287763	2.97989679485
104:	3.50576240683	3.05795204606
105:	3.16106617167	2.97331343196
106:	3.28172641976	2.96902966272
107:	3.37771352871	3.05367826213
108:	3.24294203166	3.02023389597
109:	3.40143261786	3.11821599532
110:	3.31404683456	2.98953257278
111:	3.18163051161	2.91833769426
112:	3.08841152901	2.9002080163
113:	3.42704716789	3.03630667178
114:	3.38569012874	3.04675703418
115:	3.21400198988	2.99558295174
116:	3.44187082339	2.99810759481
117:	3.22435975039	3.00479973052
118:	3.13907640703	2.88910419558
119:	3.20338385791	3.00270683676
120:	3.16791316957	2.9874296343
121:	3.22143589159	2.99377357974
122:	2.95004292607	2.74112325607
