cycle_count	entropy	node_entropy
1:	3.1543232852	3.01910348701
2:	3.29324789182	3.08228083031
3:	3.15197544648	3.00937844147
4:	3.23169375552	3.07568572308
5:	3.1013078524	2.97263094767
6:	3.20669975758	3.04935654725
7:	3.16050055921	3.00838501155
8:	3.18438540502	3.03296584413
9:	3.18076321909	3.03669764287
10:	3.07602017641	2.94416728862
11:	3.16986674854	3.02012890849
12:	3.1579240901	3.00650452921
13:	3.15611270729	2.9965717908
14:	3.19264666541	3.03707272687
15:	3.21324226092	3.04784736386
16:	3.29830338996	3.04417372584
17:	3.18915186069	3.05632035699
18:	3.2932283482	3.07375344693
19:	3.18992194957	3.04585637335
20:	3.29470713557	2.97388415832
21:	3.37395728349	3.09893195417
22:	3.37160533578	3.09177710764
23:	3.34875469613	3.07131274808
24:	3.35480875066	3.03292124149
25:	3.39858123462	3.09947880834
26:	3.3519393083	3.02797498092
27:	3.39513567242	3.07946778208
28:	3.44384481127	3.06737233534
29:	3.3523442089	3.06765288235
30:	3.36470568373	3.02049620244
31:	3.38068389251	3.08224129675
32:	3.27943627472	3.02870336691
33:	3.21771895754	3.05433047987
34:	3.30275449237	3.07235747314
35:	3.4189948893	3.09164462905
36:	3.21875874475	3.01357160273
37:	3.2150090445	2.98968781427
38:	3.31362880399	3.06329321175
39:	3.45191592651	3.11000300824
40:	3.25579810587	3.0270658669
41:	3.40267127674	3.07101377622
42:	3.31804472188	3.03688912204
43:	3.260691292	3.00330399294
44:	3.22917284013	2.99481837327
45:	3.31145257409	3.03814919511
46:	3.25977507322	3.02928273901
47:	3.31743176346	2.9955442543
48:	3.20957792699	3.03109482145
49:	3.28511055982	3.02287187593
50:	3.24761063181	3.01727200432
51:	3.28620279903	3.07523573752
52:	3.43687500345	3.07080419521
53:	3.2702966959	3.04760501576
54:	3.3310348803	3.07335484
55:	3.20311828378	2.98839900386
56:	3.23638013095	3.04591329239
57:	3.10581888007	2.92355709684
58:	3.10604749572	2.95994308613
59:	3.189874994	3.04907672649
60:	3.07856801164	2.92592161356
61:	3.1217654475	2.99855941508
62:	3.17422812387	3.04819227525
63:	3.09302893322	2.96839934275
64:	3.05247241759	2.92051698012
65:	3.15015547177	2.98866624364
