node	avg_hops
1	3.1000
2	3.1111
3	3.0462
4	3.0462
5	2.0462
6	3.1429
7	3.0667
8	3.1967
10	3.0328
11	2.0635
12	3.7705
13	2.0000
14	2.0000
15	3.0833
17	3.3279
18	2.0156
19	3.0625
20	3.1935
22	3.3281
24	1.0000
25	1.0000
26	2.2500
27	1.0000
28	1.5522
30	2.4839
31	0.0000
32	1.0000
33	1.0000
34	1.0000
35	1.0000
36	2.0794
37	1.9848
