2016-08-18 15:09:22 Round: 1
nodeid	prnt_size
20151	5.0
20251	5.0
20301	5.0
20541	1.0
20711	3.0
20841	1.0
20851	1.0
21031	4.0
21141	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22531	5.0
22631	1.0
22931	5.0
23131	5.0
30651	2.0
30751	3.0
31051	1.0
31131	1.0
31301	4.0
40231	4.0
40331	4.0
50031	2.0
50331	1.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60831	5.0
60931	5.0
61131	5.0
61231	5.0
61831	5.0
61931	2.0
62231	4.0
number of leaf nodes: 42	avg_prnt_size: 3.57142857143	stdev: 1.59078981795

2016-08-21 23:48:46 Round: 41
nodeid	prnt_size
10011	1.0
10401	3.0
10911	3.0
11001	1.0
20031	5.0
20151	5.0
20251	5.0
20641	5.0
20841	2.0
20851	1.0
20941	5.0
21341	5.0
21931	5.0
22031	5.0
22131	5.0
22331	1.0
22531	5.0
22631	1.0
22731	2.0
22831	5.0
22931	5.0
23031	4.0
23131	5.0
30251	4.0
30451	5.0
30551	3.0
30751	3.0
30851	1.0
31051	3.0
31301	4.0
40331	4.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60731	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61831	1.0
62131	4.0
62231	4.0
number of leaf nodes: 43	avg_prnt_size: 3.76744186047	stdev: 1.5225011445

2016-08-22 01:49:38 Round: 42
nodeid	prnt_size
10011	1.0
10401	3.0
10911	2.0
11801	3.0
20251	5.0
20441	1.0
20711	3.0
20841	2.0
20851	1.0
20941	5.0
21031	4.0
21141	1.0
21931	5.0
22031	5.0
22131	5.0
22531	5.0
22831	5.0
23341	3.0
30251	4.0
30451	4.0
31051	1.0
31301	3.0
40231	5.0
50131	1.0
50531	2.0
60331	5.0
60831	5.0
60931	5.0
61231	5.0
61531	5.0
61731	5.0
62031	2.0
number of leaf nodes: 32	avg_prnt_size: 3.46875	stdev: 1.58082998374

2016-08-22 03:51:11 Round: 43
nodeid	prnt_size
10011	1.0
10401	3.0
10911	2.0
11601	5.0
20031	5.0
20151	5.0
20711	3.0
20841	2.0
20851	1.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21931	5.0
22031	5.0
22231	1.0
22531	5.0
22731	2.0
22931	5.0
23031	4.0
23131	5.0
23241	2.0
30251	3.0
30651	2.0
31051	1.0
40331	4.0
50031	2.0
50131	1.0
50431	5.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60631	5.0
60731	5.0
60831	5.0
60931	5.0
61131	5.0
61531	5.0
61731	5.0
62131	4.0
62231	4.0
number of leaf nodes: 42	avg_prnt_size: 3.66666666667	stdev: 1.5532863267

2016-08-22 05:53:50 Round: 44
nodeid	prnt_size
10011	1.0
10911	2.0
11601	5.0
11801	3.0
20031	5.0
20541	1.0
20711	3.0
20841	2.0
20851	2.0
21031	4.0
21341	5.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22531	5.0
22631	2.0
22831	5.0
23031	4.0
23131	5.0
30251	4.0
30451	2.0
30651	2.0
30751	3.0
30851	1.0
31051	1.0
31301	3.0
40231	5.0
50131	5.0
50331	1.0
50431	5.0
60531	5.0
60831	5.0
60931	5.0
61131	5.0
61231	5.0
61331	5.0
61531	5.0
61731	5.0
61831	1.0
62031	2.0
62131	4.0
62231	3.0
number of leaf nodes: 43	avg_prnt_size: 3.62790697674	stdev: 1.54051117783

2016-08-22 07:54:08 Round: 45
nodeid	prnt_size
10011	1.0
10911	2.0
11801	3.0
20031	5.0
20151	5.0
20301	5.0
20711	3.0
20841	2.0
20851	2.0
20941	5.0
21141	1.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22431	1.0
22531	5.0
22831	5.0
22931	5.0
23131	5.0
23241	2.0
30251	3.0
30451	1.0
30551	5.0
31051	2.0
31301	2.0
40231	5.0
50431	5.0
50531	2.0
60001	5.0
60331	5.0
60731	5.0
61131	5.0
61231	5.0
61731	5.0
62131	4.0
62231	3.0
number of leaf nodes: 37	avg_prnt_size: 3.75675675676	stdev: 1.53174349355

2016-08-22 09:54:43 Round: 46
nodeid	prnt_size
10011	1.0
10401	3.0
10911	3.0
20031	5.0
20141	2.0
20151	5.0
20301	5.0
20641	5.0
20841	2.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21831	5.0
22031	5.0
22131	5.0
22331	5.0
22731	2.0
23031	4.0
23241	2.0
30451	5.0
30551	1.0
30851	1.0
31051	1.0
40231	5.0
50331	1.0
50431	5.0
50531	2.0
60001	5.0
60331	5.0
60631	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
62031	2.0
62231	3.0
number of leaf nodes: 38	avg_prnt_size: 3.68421052632	stdev: 1.60763414203

2016-08-22 11:54:57 Round: 47
nodeid	prnt_size
10011	1.0
10401	3.0
10911	3.0
20031	4.0
20151	5.0
20711	3.0
20841	2.0
20851	3.0
20941	5.0
21731	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22431	1.0
22531	5.0
22631	2.0
22831	5.0
23131	5.0
23241	2.0
30251	3.0
30751	3.0
30851	1.0
31051	1.0
40231	5.0
50131	5.0
50331	1.0
50431	5.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
61531	5.0
61731	5.0
62031	2.0
62131	4.0
62231	4.0
number of leaf nodes: 39	avg_prnt_size: 3.71794871795	stdev: 1.50125960701

2016-08-22 13:57:24 Round: 48
nodeid	prnt_size
10011	1.0
10911	3.0
11601	3.0
11801	3.0
20031	3.0
20151	5.0
20641	5.0
20711	3.0
20841	2.0
20851	2.0
20941	5.0
21341	5.0
21831	5.0
21931	5.0
22031	4.0
22131	5.0
22331	5.0
22531	5.0
22631	2.0
22731	2.0
22831	5.0
22931	5.0
23031	4.0
23131	5.0
23241	2.0
30551	2.0
30751	3.0
30851	1.0
31051	1.0
31301	2.0
40331	5.0
60331	5.0
60531	5.0
60631	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61831	1.0
62031	1.0
number of leaf nodes: 41	avg_prnt_size: 3.65853658537	stdev: 1.52395115627

2016-08-22 15:59:33 Round: 49
nodeid	prnt_size
10011	1.0
10911	3.0
20151	5.0
20711	3.0
20841	2.0
21831	5.0
21931	5.0
22031	4.0
22131	5.0
22331	5.0
22531	5.0
30251	3.0
30751	3.0
31051	1.0
31301	2.0
40231	5.0
50031	2.0
50131	5.0
50331	1.0
60001	1.0
60331	5.0
60731	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61931	2.0
62031	2.0
62131	4.0
number of leaf nodes: 29	avg_prnt_size: 3.58620689655	stdev: 1.54288671181

2016-08-22 18:02:04 Round: 50
nodeid	prnt_size
10011	1.0
10911	3.0
11601	4.0
20031	4.0
20301	4.0
20641	5.0
20841	3.0
20941	5.0
21031	4.0
21341	5.0
21731	1.0
22031	4.0
22131	5.0
22231	1.0
22431	5.0
22531	5.0
22631	2.0
22831	5.0
23031	4.0
23131	5.0
23241	3.0
30251	4.0
30551	2.0
30751	3.0
30851	1.0
31051	1.0
50031	2.0
50131	5.0
60331	5.0
60531	5.0
60831	5.0
61131	5.0
61531	5.0
61931	2.0
62031	2.0
62231	2.0
number of leaf nodes: 36	avg_prnt_size: 3.52777777778	stdev: 1.48110527631

2016-08-22 20:03:26 Round: 51
nodeid	prnt_size
10011	1.0
10911	3.0
11801	3.0
20301	5.0
20841	5.0
21341	5.0
21731	1.0
22031	5.0
22331	5.0
22531	5.0
22631	2.0
22831	5.0
23131	5.0
23241	2.0
30451	1.0
30551	2.0
30851	1.0
31051	3.0
40231	5.0
40331	5.0
50031	2.0
50131	5.0
50331	1.0
50431	5.0
60201	5.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
62031	2.0
number of leaf nodes: 34	avg_prnt_size: 3.79411764706	stdev: 1.60476151361

2016-08-22 22:03:39 Round: 52
nodeid	prnt_size
10011	1.0
10911	3.0
11401	2.0
20031	5.0
20541	1.0
20641	5.0
20711	3.0
20841	2.0
20851	2.0
20941	5.0
21031	4.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22431	1.0
22631	2.0
22731	2.0
23031	4.0
23131	5.0
30251	3.0
30851	1.0
31051	1.0
31301	2.0
40331	5.0
50431	5.0
60331	5.0
60531	5.0
60831	5.0
61231	5.0
61331	5.0
61431	1.0
61531	5.0
61631	1.0
61731	5.0
61831	1.0
62131	4.0
number of leaf nodes: 38	avg_prnt_size: 3.44736842105	stdev: 1.66539656129

2016-08-23 00:04:50 Round: 53
nodeid	prnt_size
10011	1.0
10911	3.0
20031	5.0
20151	5.0
20711	3.0
20841	2.0
21031	4.0
21341	5.0
21831	5.0
21931	5.0
22131	5.0
22531	5.0
22631	2.0
22731	2.0
23241	2.0
30251	3.0
30451	1.0
30551	2.0
30751	3.0
30851	1.0
31051	1.0
31301	2.0
40231	5.0
40331	5.0
50131	5.0
50331	1.0
50531	2.0
60201	5.0
60331	5.0
60731	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61931	2.0
62131	4.0
number of leaf nodes: 36	avg_prnt_size: 3.5	stdev: 1.57233018868

2016-08-23 02:06:13 Round: 54
nodeid	prnt_size
10011	1.0
10911	3.0
11801	3.0
20031	5.0
20141	3.0
20301	5.0
20441	2.0
20641	5.0
20711	3.0
20841	2.0
20851	2.0
22031	5.0
22131	5.0
22331	5.0
22531	5.0
22631	3.0
22731	2.0
22831	5.0
23031	4.0
23131	5.0
23241	1.0
30251	4.0
30651	3.0
30751	3.0
31051	2.0
31131	5.0
50031	2.0
50131	5.0
50431	5.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60631	5.0
60831	5.0
61131	5.0
61731	5.0
number of leaf nodes: 37	avg_prnt_size: 3.78378378378	stdev: 1.37811338205

2016-08-23 04:08:55 Round: 55
nodeid	prnt_size
10011	1.0
10601	2.0
10911	3.0
20031	5.0
20141	3.0
20441	2.0
20841	2.0
21031	4.0
21341	5.0
21831	5.0
22031	5.0
22131	5.0
22331	5.0
22531	5.0
22631	3.0
22731	2.0
22831	5.0
23031	4.0
23131	5.0
30251	4.0
30451	2.0
30551	2.0
31051	2.0
31301	3.0
40231	5.0
50131	5.0
50431	5.0
50531	2.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
62131	4.0
number of leaf nodes: 37	avg_prnt_size: 3.91891891892	stdev: 1.32294467573

2016-08-23 06:11:31 Round: 56
nodeid	prnt_size
10011	1.0
10911	3.0
11801	3.0
20031	5.0
20141	3.0
20711	3.0
20841	2.0
20851	2.0
20941	5.0
21831	5.0
21931	1.0
22031	5.0
22131	5.0
22531	5.0
22731	2.0
22931	5.0
23131	5.0
30251	4.0
30451	2.0
30851	1.0
31051	4.0
31301	1.0
50331	1.0
50431	5.0
50531	2.0
60001	1.0
60331	5.0
60531	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61931	2.0
62031	3.0
62131	4.0
number of leaf nodes: 35	avg_prnt_size: 3.42857142857	stdev: 1.57272673652

2016-08-23 08:11:53 Round: 57
nodeid	prnt_size
10011	1.0
10911	3.0
11001	1.0
20031	5.0
20151	5.0
20301	5.0
20711	3.0
20841	2.0
20851	2.0
20941	5.0
21031	4.0
21341	5.0
22031	5.0
22131	5.0
22231	1.0
22331	5.0
22531	5.0
22631	2.0
22831	5.0
22931	5.0
23031	4.0
23131	5.0
23241	1.0
30551	3.0
30651	3.0
30751	1.0
30851	1.0
31051	2.0
40231	5.0
50031	3.0
50131	5.0
50331	1.0
50431	5.0
50531	2.0
60331	5.0
60731	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
62131	4.0
number of leaf nodes: 41	avg_prnt_size: 3.63414634146	stdev: 1.58892658292

2016-08-23 10:12:06 Round: 58
nodeid	prnt_size
10011	1.0
10911	4.0
11601	4.0
11801	3.0
20031	5.0
20301	5.0
20441	1.0
20541	1.0
20711	3.0
20841	2.0
20851	2.0
20941	5.0
21341	5.0
21831	5.0
21931	5.0
22031	5.0
22331	1.0
22731	2.0
22931	5.0
23131	5.0
23241	2.0
30251	5.0
30451	2.0
30551	3.0
30751	1.0
30851	1.0
31051	2.0
31301	1.0
50131	5.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60631	5.0
60731	5.0
60831	5.0
61531	5.0
61631	1.0
61731	5.0
number of leaf nodes: 39	avg_prnt_size: 3.4358974359	stdev: 1.67630350038

2016-08-23 12:14:07 Round: 59
nodeid	prnt_size
10011	1.0
10401	3.0
20151	5.0
20301	5.0
20441	1.0
20711	3.0
20841	2.0
21931	5.0
22131	5.0
22531	5.0
22731	2.0
23031	4.0
23131	5.0
30251	4.0
30451	5.0
30651	3.0
30751	3.0
30851	1.0
31051	2.0
31301	1.0
40231	5.0
40331	4.0
50031	5.0
50331	1.0
50431	5.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60631	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61631	1.0
61731	5.0
62031	3.0
62131	4.0
number of leaf nodes: 38	avg_prnt_size: 3.68421052632	stdev: 1.54076643877

2016-08-23 14:17:05 Round: 60
nodeid	prnt_size
10011	1.0
10911	3.0
11601	3.0
20301	4.0
20641	5.0
21031	4.0
21341	5.0
21731	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22531	5.0
22831	5.0
23241	2.0
30551	4.0
30651	2.0
30751	2.0
30851	1.0
40231	5.0
40331	5.0
50031	2.0
50331	1.0
60201	5.0
60531	5.0
60731	5.0
60831	5.0
60931	1.0
61131	4.0
61231	5.0
61331	5.0
61531	5.0
61831	5.0
62031	2.0
62131	4.0
number of leaf nodes: 35	avg_prnt_size: 3.85714285714	stdev: 1.47634407803

2016-08-23 16:17:34 Round: 61
nodeid	prnt_size
10911	3.0
20031	3.0
20151	5.0
20641	5.0
20711	3.0
20841	2.0
20941	5.0
21031	4.0
21731	5.0
21831	5.0
22031	5.0
22131	5.0
22631	2.0
22831	5.0
23031	5.0
23131	5.0
23241	3.0
30451	4.0
30851	1.0
31051	1.0
40331	5.0
50031	1.0
50131	5.0
50331	1.0
50431	5.0
60001	2.0
60631	5.0
61131	5.0
61531	5.0
62031	3.0
number of leaf nodes: 30	avg_prnt_size: 3.76666666667	stdev: 1.4985177862

2016-08-23 18:19:08 Round: 62
nodeid	prnt_size
10911	2.0
20151	5.0
20711	3.0
20841	2.0
21341	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22431	5.0
22531	5.0
22631	1.0
23131	5.0
30251	3.0
30451	3.0
30551	2.0
30751	2.0
31051	1.0
31131	5.0
31301	2.0
40231	5.0
50131	5.0
60331	5.0
60731	5.0
60831	5.0
61131	5.0
61531	5.0
61831	5.0
62131	4.0
number of leaf nodes: 30	avg_prnt_size: 4.0	stdev: 1.41421356237

2016-08-23 20:19:50 Round: 63
nodeid	prnt_size
10801	2.0
10911	2.0
11001	4.0
20031	3.0
20151	5.0
20711	3.0
20841	2.0
21031	4.0
21731	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22231	1.0
22431	5.0
22531	5.0
22631	1.0
22831	5.0
23031	5.0
23131	5.0
23241	2.0
30251	3.0
30551	2.0
30751	2.0
30851	1.0
31051	2.0
40231	4.0
40331	4.0
50031	3.0
50131	1.0
50331	1.0
60331	5.0
60531	5.0
60831	5.0
60931	1.0
61631	1.0
61831	5.0
62131	4.0
number of leaf nodes: 38	avg_prnt_size: 3.36842105263	stdev: 1.57982431787

2016-08-23 22:21:16 Round: 64
nodeid	prnt_size
10801	2.0
10911	2.0
11201	4.0
11801	3.0
20151	5.0
20641	5.0
20841	2.0
20851	3.0
20941	5.0
21341	5.0
21731	5.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22431	5.0
22631	1.0
22831	5.0
22931	5.0
23241	1.0
30551	2.0
30751	2.0
31051	1.0
31131	5.0
31301	2.0
40231	4.0
40331	4.0
50331	1.0
50531	3.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
60931	1.0
61131	5.0
61231	1.0
61531	5.0
61631	1.0
62131	4.0
62231	3.0
number of leaf nodes: 40	avg_prnt_size: 3.55	stdev: 1.59608896995

2016-08-24 00:25:54 Round: 65
nodeid	prnt_size
10011	1.0
10911	2.0
11001	4.0
11201	4.0
11801	3.0
20031	3.0
20151	5.0
20441	1.0
20711	3.0
20851	3.0
21031	4.0
21341	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22431	5.0
22531	5.0
22631	1.0
23031	5.0
23131	5.0
23241	1.0
30251	3.0
30451	1.0
30551	2.0
30751	2.0
30851	1.0
31051	1.0
40331	4.0
50031	3.0
50431	5.0
50531	3.0
60331	5.0
61531	5.0
62131	4.0
62231	3.0
number of leaf nodes: 37	avg_prnt_size: 3.43243243243	stdev: 1.51640650152

2016-08-24 02:26:45 Round: 66
nodeid	prnt_size
10011	1.0
10911	2.0
20541	1.0
20711	3.0
20841	2.0
20941	5.0
21831	5.0
22031	5.0
22531	5.0
22631	1.0
22831	5.0
22931	5.0
23031	5.0
23131	5.0
30251	2.0
30451	3.0
30751	2.0
30851	1.0
31051	3.0
31301	3.0
40231	4.0
50031	3.0
50331	1.0
60531	5.0
60731	5.0
60831	5.0
61531	5.0
61931	3.0
62031	3.0
62131	4.0
number of leaf nodes: 30	avg_prnt_size: 3.4	stdev: 1.51877143332

2016-08-24 04:31:19 Round: 67
nodeid	prnt_size
10011	1.0
10801	2.0
10911	2.0
11001	5.0
11201	4.0
11401	2.0
20711	3.0
20841	2.0
20851	3.0
20941	5.0
21031	4.0
21341	5.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22831	5.0
30251	3.0
30751	2.0
30851	1.0
31051	1.0
31301	3.0
40231	5.0
50031	2.0
50131	1.0
50331	1.0
50431	5.0
50531	3.0
60001	2.0
60331	1.0
60531	5.0
60831	5.0
61231	1.0
61431	2.0
61531	5.0
61831	1.0
62231	4.0
number of leaf nodes: 37	avg_prnt_size: 3.13513513514	stdev: 1.59665464732

2016-08-24 06:32:43 Round: 68
nodeid	prnt_size
10011	1.0
10911	2.0
11401	2.0
11801	4.0
20031	4.0
20151	5.0
20641	5.0
20711	3.0
20841	3.0
20851	3.0
21031	4.0
21731	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22331	1.0
22431	1.0
22531	5.0
22631	1.0
22731	2.0
22931	5.0
23031	5.0
23131	5.0
23241	1.0
30451	2.0
30551	1.0
30751	2.0
31051	3.0
40331	3.0
50431	5.0
60531	5.0
60731	5.0
60831	5.0
61231	1.0
61331	5.0
61531	5.0
61831	1.0
62231	4.0
number of leaf nodes: 39	avg_prnt_size: 3.4358974359	stdev: 1.61395948532

2016-08-24 08:33:02 Round: 69
nodeid	prnt_size
10011	1.0
10911	2.0
11001	4.0
11201	4.0
20841	4.0
20851	4.0
20941	5.0
21341	5.0
21931	5.0
22031	5.0
22131	5.0
22531	5.0
22631	2.0
22831	5.0
23131	5.0
30251	1.0
30451	1.0
30751	3.0
31051	1.0
40331	3.0
50031	5.0
50131	4.0
50531	2.0
60201	1.0
60631	2.0
60731	5.0
61831	5.0
62031	2.0
62131	5.0
62231	5.0
number of leaf nodes: 30	avg_prnt_size: 3.53333333333	stdev: 1.56489261257

2016-08-24 10:33:55 Round: 70
nodeid	prnt_size
10011	1.0
10401	2.0
10911	2.0
11001	4.0
11201	4.0
11801	3.0
20151	5.0
20711	4.0
20851	3.0
20941	5.0
21031	5.0
21341	5.0
21731	5.0
21931	1.0
22031	5.0
22131	5.0
22331	5.0
22531	5.0
22631	2.0
22731	2.0
22831	5.0
23031	5.0
23131	5.0
30251	1.0
30751	2.0
30851	1.0
31051	4.0
31301	3.0
40231	5.0
40331	3.0
50131	5.0
50331	1.0
50431	5.0
50531	2.0
60631	5.0
60931	1.0
61231	5.0
61831	3.0
number of leaf nodes: 38	avg_prnt_size: 3.52631578947	stdev: 1.55151610242

2016-08-24 12:34:39 Round: 71
nodeid	prnt_size
10011	1.0
10401	2.0
10911	3.0
11001	1.0
11601	3.0
20031	5.0
20151	5.0
20711	5.0
20841	5.0
20851	5.0
20941	5.0
21031	5.0
21731	1.0
21931	1.0
22031	5.0
22331	5.0
22431	5.0
22531	5.0
22731	2.0
22931	1.0
23241	3.0
30551	5.0
30751	2.0
31051	3.0
31301	2.0
40331	2.0
50331	2.0
50531	1.0
60331	5.0
60831	5.0
61231	5.0
61331	5.0
62031	3.0
62131	5.0
62231	5.0
number of leaf nodes: 35	avg_prnt_size: 3.51428571429	stdev: 1.62781937523

2016-08-24 14:35:00 Round: 72
nodeid	prnt_size
10011	1.0
10911	3.0
20031	5.0
20141	2.0
20151	5.0
20441	2.0
20711	5.0
20841	5.0
20851	4.0
20941	5.0
21341	5.0
22131	5.0
22331	5.0
22831	5.0
23031	5.0
23131	5.0
23241	3.0
30251	5.0
30451	3.0
40331	4.0
50531	3.0
60331	5.0
60831	1.0
62231	5.0
number of leaf nodes: 24	avg_prnt_size: 4.0	stdev: 1.35400640077

2016-08-24 16:35:50 Round: 73
nodeid	prnt_size
10011	1.0
10911	3.0
11601	4.0
11801	4.0
20151	5.0
20851	5.0
20941	5.0
21731	1.0
22031	5.0
22631	3.0
22731	2.0
22831	4.0
23131	5.0
30251	1.0
30651	3.0
31301	3.0
40331	5.0
50331	1.0
50431	5.0
50531	2.0
60331	1.0
60531	1.0
61231	5.0
61831	5.0
62231	5.0
number of leaf nodes: 25	avg_prnt_size: 3.36	stdev: 1.62185079462

2016-08-24 18:38:15 Round: 74
nodeid	prnt_size
10011	1.0
10501	2.0
11601	5.0
11801	4.0
20031	5.0
20151	5.0
20711	5.0
20841	4.0
21341	5.0
22031	5.0
22131	5.0
22231	1.0
22531	5.0
23031	5.0
23131	5.0
30651	5.0
31301	3.0
50331	4.0
50431	5.0
50531	2.0
60531	5.0
61331	5.0
61531	5.0
62231	5.0
number of leaf nodes: 24	avg_prnt_size: 4.20833333333	stdev: 1.32221930439

2016-08-24 20:40:01 Round: 75
nodeid	prnt_size
10011	1.0
10911	3.0
20441	2.0
20711	4.0
20841	4.0
20851	5.0
20941	5.0
22031	5.0
22131	5.0
22531	5.0
22631	3.0
22731	2.0
22831	4.0
22931	5.0
23131	5.0
30751	1.0
31131	1.0
40331	5.0
50031	2.0
50131	4.0
50531	3.0
60631	5.0
60831	5.0
61231	5.0
61531	5.0
62131	4.0
62231	5.0
number of leaf nodes: 27	avg_prnt_size: 3.81481481481	stdev: 1.41518319811

2016-08-24 22:41:34 Round: 76
nodeid	prnt_size
10011	1.0
10401	4.0
10911	3.0
11801	4.0
20031	5.0
20151	5.0
20711	3.0
21341	5.0
22031	5.0
22131	5.0
22431	5.0
22631	3.0
22831	5.0
23031	5.0
23131	5.0
23241	4.0
30251	3.0
30451	1.0
30751	2.0
31051	2.0
40331	5.0
50031	3.0
50331	1.0
50431	5.0
60001	2.0
60331	5.0
60831	5.0
61331	5.0
61531	5.0
62231	5.0
number of leaf nodes: 30	avg_prnt_size: 3.86666666667	stdev: 1.4079141388

