2016-08-18 15:09:22 Round: 1
nodeid	prnt_size
61731	5.0
61831	5.0
62031	3.0
62131	3.0
62231	3.0
number of leaf nodes: 44	avg_prnt_size: 3.75	stdev: 1.53925897165

2016-08-19 09:12:31 Round: 10
nodeid	prnt_size
10011	1.0
10911	2.0
11201	4.0
20031	5.0
20151	5.0
20251	5.0
20301	5.0
20711	3.0
20841	2.0
20851	1.0
21031	4.0
21141	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22231	1.0
22531	5.0
22631	1.0
22831	5.0
23131	5.0
30251	2.0
30351	5.0
30651	1.0
30751	2.0
31051	1.0
40231	4.0
50331	1.0
50531	2.0
60001	5.0
60201	5.0
60331	5.0
60531	5.0
60631	5.0
60731	5.0
60831	5.0
61531	5.0
61631	1.0
61731	5.0
61831	5.0
61931	2.0
62131	3.0
62231	3.0
number of leaf nodes: 43	avg_prnt_size: 3.62790697674	stdev: 1.64278911744

2016-08-19 11:12:56 Round: 11
nodeid	prnt_size
10011	1.0
10801	3.0
10911	2.0
11001	3.0
11201	4.0
11801	3.0
20151	5.0
20251	4.0
20441	1.0
20841	2.0
21141	5.0
21341	5.0
21731	5.0
21831	5.0
22031	5.0
22131	5.0
22831	5.0
22931	5.0
23031	3.0
23131	4.0
23241	3.0
30251	3.0
30451	5.0
30751	3.0
31051	1.0
31131	5.0
31301	2.0
40331	2.0
50431	5.0
60201	5.0
60331	5.0
60731	5.0
60831	5.0
61131	5.0
61331	5.0
61531	5.0
61831	5.0
62031	2.0
62231	3.0
number of leaf nodes: 39	avg_prnt_size: 3.82051282051	stdev: 1.37508591567

2016-08-19 13:13:15 Round: 12
nodeid	prnt_size
10011	1.0
10601	5.0
10801	3.0
10911	2.0
11001	3.0
11201	4.0
11601	4.0
20151	5.0
20251	4.0
20301	4.0
20541	1.0
20641	5.0
20841	2.0
20851	1.0
21031	4.0
21931	5.0
22031	4.0
22131	5.0
22331	5.0
22531	5.0
22631	1.0
22931	5.0
23131	4.0
23241	3.0
30251	2.0
30451	5.0
31051	2.0
31301	1.0
40231	3.0
50331	1.0
60001	1.0
60201	5.0
60531	5.0
61131	5.0
61231	5.0
61331	5.0
61531	5.0
61731	5.0
61831	5.0
62131	3.0
62231	2.0
number of leaf nodes: 41	avg_prnt_size: 3.53658536585	stdev: 1.53173838713

2016-08-19 15:13:48 Round: 13
nodeid	prnt_size
10601	5.0
10911	2.0
11001	3.0
11201	4.0
20151	5.0
20541	1.0
20641	5.0
20841	2.0
20851	1.0
20941	5.0
21031	4.0
21141	5.0
21341	5.0
21831	5.0
22031	4.0
22131	5.0
22331	5.0
22531	5.0
22731	2.0
22831	5.0
22931	5.0
23031	3.0
30251	3.0
30351	5.0
30551	1.0
30651	2.0
30751	3.0
31051	1.0
50331	1.0
50431	5.0
50531	2.0
60001	1.0
60201	5.0
60331	5.0
60531	5.0
60731	5.0
61131	5.0
61231	5.0
61331	5.0
61531	5.0
61731	5.0
62031	2.0
62131	3.0
62231	3.0
number of leaf nodes: 44	avg_prnt_size: 3.70454545455	stdev: 1.53118411479

2016-08-19 17:13:56 Round: 14
nodeid	prnt_size
10011	1.0
10911	3.0
20151	5.0
20301	4.0
20841	2.0
20851	1.0
20941	5.0
21141	1.0
21831	5.0
21931	5.0
22031	4.0
22631	1.0
22831	5.0
23131	4.0
23241	3.0
30251	3.0
30551	3.0
30651	2.0
31051	1.0
40331	2.0
50131	4.0
50331	1.0
60331	5.0
60531	5.0
60831	5.0
61131	5.0
61531	5.0
61731	5.0
61831	5.0
number of leaf nodes: 29	avg_prnt_size: 3.44827586207	stdev: 1.58845418018

2016-08-19 19:14:14 Round: 15
nodeid	prnt_size
