cycle_count	entropy	node_entropy
1:	2.83889333813	2.83889333813
2:	2.82227851652	2.82227851652
3:	2.91603667092	2.88987855441
4:	2.87678274858	2.87678274858
5:	2.89473549625	2.89473549625
6:	2.88186049578	2.88186049578
7:	2.86934532314	2.86934532314
8:	2.91698596929	2.91698596929
9:	2.83201104453	2.83201104453
10:	2.92242344951	2.92242344951
11:	2.91154982802	2.91154982802
12:	2.92242344951	2.92242344951
13:	2.92242344951	2.92242344951
14:	2.88721005474	2.88721005474
15:	2.91698596929	2.91698596929
16:	2.92242344951	2.92242344951
17:	2.91186371775	2.91186371775
18:	2.90134485996	2.90134485996
19:	2.90668981808	2.90668981808
20:	2.87681863311	2.87681863311
21:	2.92242344951	2.92242344951
22:	2.88027461641	2.88027461641
23:	2.92997315521	2.92997315521
24:	2.91698596929	2.91698596929
25:	2.88684314919	2.88684314919
26:	2.92242344951	2.92242344951
27:	2.90554987161	2.90554987161
28:	2.90554987161	2.90554987161
29:	2.92242344951	2.92242344951
30:	2.92289364868	2.92289364868
31:	2.88027461641	2.88027461641
32:	2.92242344951	2.92242344951
33:	2.87197766511	2.87197766511
34:	2.92242344951	2.92242344951
35:	2.89467150742	2.89467150742
36:	2.86264639971	2.86264639971
37:	2.93429202664	2.91696334712
38:	2.93578407499	2.93578407499
39:	2.93578407499	2.93578407499
40:	2.93578407499	2.93578407499
41:	2.93578407499	2.93578407499
42:	2.95741553575	2.95741553575
43:	2.92536262948	2.92536262948
44:	2.95152074598	2.95152074598
45:	2.95152074598	2.95152074598
46:	2.89014820399	2.89014820399
47:	2.94221704774	2.94221704774
48:	2.91913105308	2.91913105308
49:	2.93578407499	2.93578407499
50:	2.93041471318	2.93041471318
51:	2.92536262948	2.92536262948
52:	2.93578407499	2.93578407499
53:	2.92536262948	2.92536262948
54:	2.92536262948	2.92536262948
55:	2.93578407499	2.93578407499
56:	2.89420625555	2.89420625555
57:	2.96239934805	2.96239934805
58:	2.93041471318	2.93041471318
59:	2.93578407499	2.93578407499
60:	2.94940504689	2.94940504689
61:	2.92192489778	2.92192489778
62:	2.93578407499	2.93578407499
