cycle_count	entropy	node_entropy
1:	2.86274373065	2.86274373065
2:	2.84159690149	2.84159690149
3:	2.82856000785	2.82856000785
4:	2.82389740387	2.82389740387
5:	2.84159690149	2.84159690149
6:	2.82389740387	2.82389740387
7:	2.86298406048	2.86298406048
8:	2.87375938992	2.87375938992
9:	2.86495178004	2.86495178004
10:	2.87375938992	2.87375938992
11:	2.90436587082	2.90436587082
12:	2.83388447761	2.83388447761
13:	2.87375938992	2.87375938992
14:	2.83163224698	2.83163224698
15:	2.86981540279	2.86981540279
16:	2.83388447761	2.83388447761
17:	2.87375938992	2.87375938992
18:	2.86495178004	2.86495178004
19:	2.84480035277	2.84480035277
20:	2.84698648324	2.84698648324
21:	2.87375938992	2.87375938992
22:	2.83843256959	2.83843256959
23:	2.87794193846	2.87794193846
24:	2.80068126602	2.80068126602
25:	2.84480035277	2.84480035277
26:	2.83388447761	2.83388447761
27:	2.87773189066	2.87773189066
28:	2.88738212031	2.88738212031
29:	2.89195147328	2.89195147328
30:	2.85800683121	2.85800683121
31:	2.84768742402	2.84768742402
32:	2.85873442937	2.85873442937
33:	2.82409885972	2.82409885972
34:	2.89040761088	2.89040761088
35:	2.87642766661	2.87642766661
36:	2.81393101743	2.81393101743
37:	2.82222685729	2.82222685729
38:	2.82651935863	2.82651935863
39:	2.88738212031	2.88738212031
40:	2.80434740844	2.80434740844
41:	2.88738212031	2.88738212031
42:	2.89195147328	2.89195147328
43:	2.85514657425	2.85514657425
44:	2.84347701768	2.84347701768
45:	2.88738212031	2.88738212031
46:	2.90439480237	2.90439480237
47:	2.9289368698	2.9289368698
48:	2.96967323918	2.96967323918
49:	2.94335498196	2.94335498196
50:	2.92479783185	2.92479783185
51:	2.94335498196	2.94335498196
52:	2.93959233247	2.93959233247
53:	2.89195147328	2.89195147328
54:	2.91058970988	2.91058970988
55:	2.90922293791	2.90922293791
56:	2.9573707458	2.9573707458
57:	2.89348459767	2.89348459767
58:	2.89348459767	2.89348459767
59:	2.92622561187	2.90723527816
60:	2.86855893674	2.86855893674
61:	2.92539130691	2.92539130691
62:	2.90439301396	2.90439301396
63:	2.90371535593	2.90371535593
64:	2.93698990662	2.93698990662
65:	2.95578934742	2.95578934742
66:	2.91473774727	2.91473774727
67:	2.88124941763	2.88124941763
68:	2.9300160212	2.9300160212
69:	2.92720543668	2.92720543668
70:	2.93875982082	2.93875982082
71:	2.92539130691	2.92539130691
72:	2.92946493643	2.92946493643
73:	2.9300160212	2.9300160212
74:	2.92539130691	2.92539130691
75:	2.92539130691	2.92539130691
76:	2.93724435125	2.93724435125
77:	2.92779188319	2.92779188319
78:	2.95714031949	2.95714031949
79:	2.94705645146	2.94705645146
80:	2.95714031949	2.95714031949
81:	3.00574993793	3.00574993793
82:	2.95534173497	2.95534173497
83:	2.95714031949	2.95714031949
84:	2.96139456966	2.96139456966
85:	2.92155297597	2.92155297597
86:	2.93276452835	2.93276452835
87:	2.93626770695	2.93626770695
88:	2.93984565502	2.93984565502
89:	2.94944590894	2.94944590894
90:	2.92445588165	2.92445588165
91:	2.93989389406	2.93989389406
92:	2.95233306772	2.95233306772
93:	2.93491915812	2.93491915812
94:	2.92155297597	2.92155297597
95:	2.88525585305	2.88525585305
96:	2.93984565502	2.93984565502
97:	2.93491915812	2.93491915812
98:	2.93984565502	2.93984565502
99:	2.96684292211	2.96684292211
100:	2.95385305246	2.95385305246
101:	2.93626770695	2.93626770695
102:	2.90442960509	2.90442960509
103:	2.93626770695	2.93626770695
104:	2.93626770695	2.93626770695
105:	2.93626770695	2.93626770695
106:	2.93152680252	2.93152680252
107:	2.91702885361	2.91702885361
108:	2.91517320517	2.91517320517
109:	2.93626770695	2.93626770695
110:	2.92522111187	2.92522111187
111:	2.97397564362	2.97397564362
112:	2.93626770695	2.93626770695
113:	2.88997527074	2.88997527074
114:	2.93626770695	2.93626770695
115:	2.92843178018	2.92843178018
116:	2.93626770695	2.93626770695
117:	2.88018447196	2.88018447196
118:	2.93626770695	2.93626770695
119:	2.93626770695	2.93626770695
120:	2.86981540279	2.86981540279
121:	2.90419496798	2.90419496798
122:	2.95630314427	2.95630314427
123:	2.93025962957	2.93025962957
124:	2.91517320517	2.91517320517
125:	2.88018447196	2.88018447196
126:	2.90572217407	2.90572217407
127:	2.91749143367	2.91749143367
128:	2.9426504785	2.9426504785
129:	2.85645817174	2.85645817174
130:	2.94736380636	2.94736380636
131:	2.93491915812	2.93491915812
132:	2.94736380636	2.94736380636
133:	2.89195147328	2.89195147328
134:	2.92445588165	2.92445588165
135:	2.93626770695	2.93626770695
136:	2.91517320517	2.91517320517
137:	2.93626770695	2.93626770695
138:	2.883892791	2.883892791
139:	2.93626770695	2.93626770695
140:	2.92155297597	2.92155297597
141:	2.93984565502	2.93984565502
142:	2.92328922726	2.92328922726
143:	2.94658921242	2.94658921242
