Ctp-1: ../../../../data/indriya/protocol_metrics/ctp/20170214_indriya_ctp_lpl1024_sink31_1min_caa1800_incycle_test1.txt


1:	0.987848188744
2:	1.03792094616
3:	0.989996002747
4:	1.07327181735
5:	1.03792094616
6:	1.07327181735
7:	1.05975774422
8:	1.10644341895
9:	1.08887525424
10:	1.10644341895
11:	1.07480644891
12:	1.04872369648
13:	1.10644341895
14:	1.01943609577
15:	1.07746194364
16:	1.04872369648
17:	1.10644341895
18:	1.08887525424
19:	1.02417683933
20:	1.02496388373
21:	1.10644341895
22:	0.979459126127
23:	1.09381239215
24:	0.981405393636
25:	1.02417683933
26:	0.979974031937
27:	1.00720616173
28:	1.12612590001
29:	1.11419363268
30:	1.01732762693
31:	1.06788278401
32:	1.04348769753
33:	1.03084511329
34:	1.08519321462
35:	1.09559586396
36:	0.999149419231
37:	0.988955327908
38:	0.990640679057
39:	1.12612590001
40:	1.02363549067
41:	1.12612590001
42:	1.11419363268
43:	1.05659207106
44:	1.08304536769
45:	1.12612590001
46:	1.10386626779
47:	1.13200179573
48:	1.09924964531
49:	1.14974803983
50:	1.10771261169
51:	1.14974803983
52:	1.16157410835
53:	1.11419363268
54:	1.07737937765
55:	1.09225736196
56:	1.13939797569
57:	1.13026742096
58:	1.13026742096
59:	1.12739856622
60:	1.12521365009
61:	1.18720483359
62:	1.15050779602
63:	1.07789433667
64:	1.19067158377
65:	1.12582375053
66:	1.13350912394
67:	1.08600939588
68:	1.17723857995
69:	1.20991158049
70:	1.18313707072
71:	1.18720483359
72:	1.14910448299
73:	1.17723857995
74:	1.18720483359
75:	1.18720483359
76:	1.14736107471
77:	1.14296490825
78:	1.15333273013
79:	1.09087785021
80:	1.15333273013
81:	1.06725903593
82:	1.07875104128
83:	1.15333273013
84:	1.07635302628
85:	1.14123163124
86:	1.10109596801
87:	1.16026038914
88:	1.14837720899
89:	1.18743926204
90:	1.1114908334
91:	1.09132424855
92:	1.0776528255
93:	1.13074796332
94:	1.14123163124
95:	1.1270530676
96:	1.14837720899
97:	1.13074796332
98:	1.14837720899
99:	1.12760077276
100:	1.15256679434
101:	1.16026038914
102:	1.08916110191
103:	1.16026038914
104:	1.16026038914
105:	1.16026038914
106:	1.11417826109
107:	1.06476617443
108:	1.12314036158
109:	1.16026038914
110:	1.13056569627
111:	1.1586918092
112:	1.16026038914
113:	1.054891147
114:	1.16026038914
115:	1.03260001204
116:	1.16026038914
117:	1.08560799328
118:	1.16026038914
119:	1.16026038914
120:	1.07746194364
121:	1.07501230989
122:	1.07910197236
123:	1.02699964902
124:	1.12314036158
125:	1.08560799328
126:	1.10437075873
127:	1.08300818371
128:	1.11065947443
129:	1.05734213135
130:	1.12019739262
131:	1.13074796332
132:	1.12019739262
133:	1.11419363268
134:	1.1114908334
135:	1.16026038914
136:	1.12314036158
137:	1.16026038914
138:	1.06749728751
139:	1.16026038914
140:	1.06641755763
141:	1.14837720899
142:	1.05243417814
143:	1.09070489773
