node	avg_hops
1	3.8402
2	3.5789
3	3.3059
4	4.1183
5	2.5412
6	3.9939
7	3.8810
8	3.8036
9	3.8951
10	3.8935
11	3.1879
12	3.6905
13	2.9881
14	2.4477
15	3.8810
17	3.0422
18	2.7011
19	3.1726
20	3.8261
22	3.7000
24	1.0000
25	1.0000
26	2.7558
27	1.0000
28	1.0000
30	2.1437
31	0.0000
32	1.0000
33	1.0000
34	1.0000
35	1.0000
36	2.0966
37	1.0000
