cycle_count	entropy	node_entropy
1:	3.43732711226	2.94551601561
2:	3.2298329167	2.9427714061
3:	3.36397491382	2.95804199988
4:	3.14677437878	2.84773354514
5:	3.0144839924	2.77525421105
6:	3.36383589038	3.03410316169
7:	3.39419074773	3.05564840321
8:	3.14843532995	2.89744161378
9:	3.13505279764	2.91484017251
10:	3.14900763176	2.87756721553
11:	3.16419285917	2.87573126042
12:	3.31966885812	3.03984062998
13:	3.42987740691	3.02066708479
14:	3.43572754422	3.0234359913
15:	3.43905358014	3.01284687877
16:	3.42760648006	2.99785974302
17:	3.37654337851	2.99803718166
18:	3.52252061789	3.03744852736
19:	3.32087773309	2.92136298856
20:	3.43376993259	3.050755872
21:	3.41166135224	3.03146772328
22:	3.42591374216	3.00286811146
23:	3.34154944627	2.96313811537
24:	3.35901028396	3.0316052449
25:	3.51053297843	3.08017611956
26:	3.1168079672	2.8808995993
27:	3.21133759092	2.93613799914
28:	3.40667393658	3.03723122954
29:	3.42425477459	3.03637420647
30:	3.1547338209	2.90386116918
31:	3.20851983004	2.88079289399
32:	3.30780657607	2.92843779672
33:	3.14567126365	2.92985792251
34:	3.45949257372	2.99547404409
35:	3.49229823815	3.06680320421
36:	3.22929586047	2.94862626935
37:	3.48192041685	3.06593038017
38:	3.20153237796	2.9644564508
39:	3.14018814232	2.9329656756
40:	3.24981709891	2.94604655206
41:	3.42774557094	3.04387389471
42:	3.39047895612	3.04112622536
43:	3.25449382783	2.87385134177
44:	3.33245476075	2.95895984797
45:	3.31008813794	3.05675896182
46:	3.21812209915	2.95800369764
47:	3.38922670193	3.02544647304
48:	3.30415227848	2.97082157608
49:	3.19701012151	2.95225148232
50:	3.47300051814	3.04993144969
51:	3.312712743	2.9460952192
52:	3.56995582798	3.04802407837
53:	3.42820333934	3.04217712157
54:	3.28662299231	2.96020476884
55:	3.37895693989	2.96500918131
56:	3.48279048253	3.0469091807
57:	3.43279047858	3.0145851298
58:	3.17587803432	2.91718114512
59:	3.442710871	3.06313711438
60:	3.47049853733	3.01569277268
61:	3.10246619488	2.80952679471
62:	3.41786104975	2.99323251212
